Data Source,Frequency [D/H],Observation time UTC,PERIOD [hrs],Direction [deg T],Speed [m/s]
M,H,2006-12-22T07:00:00Z,0.17,,12.35
M,H,2006-12-22T11:00:00Z,0.17,,10.3
M,H,2007-01-13T06:00:00Z,0.17,,16.99
M,H,2007-01-16T05:00:00Z,0.17,,13.9
M,H,2007-01-16T06:00:00Z,0.17,,15.96
M,H,2007-01-22T01:00:00Z,0.17,,8.75
M,H,2007-01-27T07:00:00Z,0.17,,18.02
M,H,2007-01-27T09:00:00Z,0.17,,14.93
M,H,2007-01-27T10:00:00Z,0.17,,16.47
M,H,2007-01-27T15:00:00Z,0.17,,14.93
M,H,2007-01-27T16:00:00Z,0.17,,13.9
M,H,2007-01-27T17:00:00Z,0.17,,13.38
M,H,2007-01-27T20:00:00Z,0.17,,12.87
M,H,2007-01-31T22:00:00Z,0.17,,11.32
M,H,2007-02-02T01:00:00Z,0.17,,12.35
M,H,2007-02-02T02:00:00Z,0.17,,13.38
M,H,2007-02-09T00:00:00Z,0.17,,10.3
M,H,2007-02-09T06:00:00Z,0.17,,9.27
M,H,2007-02-13T03:00:00Z,0.17,,12.87
M,H,2007-02-13T13:00:00Z,0.17,,13.9
M,H,2007-02-13T15:00:00Z,0.17,,14.41
M,H,2007-02-13T20:00:00Z,0.17,,13.38
M,H,2007-02-15T04:00:00Z,0.17,,11.32
M,H,2007-02-15T07:00:00Z,0.17,,13.9
M,H,2007-02-15T16:00:00Z,0.17,,12.87
M,H,2007-02-15T19:00:00Z,0.17,,13.38
M,H,2007-02-15T20:00:00Z,0.17,,12.35
M,H,2007-02-15T22:00:00Z,0.17,,13.9
M,H,2007-02-15T23:00:00Z,0.17,,11.84
M,H,2007-02-16T00:00:00Z,0.17,,12.87
M,H,2007-02-16T02:00:00Z,0.17,,11.32
M,H,2007-02-16T04:00:00Z,0.17,,11.32
M,H,2007-02-23T19:00:00Z,0.17,,14.41
M,H,2007-02-26T02:00:00Z,0.17,,13.9
M,H,2007-02-26T21:00:00Z,0.17,,15.96
M,H,2007-02-26T22:00:00Z,0.17,,18.02
M,H,2007-02-26T23:00:00Z,0.17,,16.47
M,H,2007-02-27T00:00:00Z,0.17,,16.47
M,H,2007-02-27T01:00:00Z,0.17,,19.56
M,H,2007-02-27T02:00:00Z,0.17,,15.96
M,H,2007-02-27T03:00:00Z,0.17,,15.96
M,H,2007-02-27T04:00:00Z,0.17,,14.41
M,H,2007-02-27T05:00:00Z,0.17,,13.38
M,H,2007-02-27T08:00:00Z,0.17,,10.81
M,H,2007-03-07T21:00:00Z,0.17,,14.41
M,H,2007-03-14T02:00:00Z,0.17,,14.93
M,H,2007-03-14T06:00:00Z,0.17,,14.93
M,H,2007-03-14T07:00:00Z,0.17,,14.93
M,H,2007-03-14T13:00:00Z,0.17,,15.44
M,H,2007-03-14T20:00:00Z,0.17,,20.08
M,H,2007-03-14T23:00:00Z,0.17,,15.44
M,H,2007-03-15T00:00:00Z,0.17,,14.41
M,H,2007-03-15T01:00:00Z,0.17,,15.96
M,H,2007-03-15T02:00:00Z,0.17,,16.99
M,H,2007-03-15T03:00:00Z,0.17,,17.5
M,H,2007-03-15T04:00:00Z,0.17,,23.68
M,H,2007-03-15T05:00:00Z,0.17,,15.96
M,H,2007-03-15T06:00:00Z,0.17,,13.38
M,H,2007-03-15T09:00:00Z,0.17,,11.84
M,H,2007-03-15T10:00:00Z,0.17,,15.44
M,H,2007-03-15T16:00:00Z,0.17,,16.47
M,H,2007-03-17T03:00:00Z,0.17,,12.87
M,H,2007-03-17T04:00:00Z,0.17,,12.87
M,H,2007-03-17T05:00:00Z,0.17,,10.3
M,H,2007-03-17T06:00:00Z,0.17,,9.78
M,H,2007-03-17T22:00:00Z,0.17,,19.56
M,H,2007-03-18T00:00:00Z,0.17,,20.59
M,H,2007-03-18T01:00:00Z,0.17,,19.05
M,H,2007-03-18T02:00:00Z,0.17,,22.65
M,H,2007-03-18T03:00:00Z,0.17,,18.53
M,H,2007-03-18T13:00:00Z,0.17,,12.87
M,H,2007-03-18T14:00:00Z,0.17,,13.38
M,H,2007-03-18T19:00:00Z,0.17,,9.78
M,H,2007-03-18T22:00:00Z,0.17,,16.47
M,H,2007-03-18T23:00:00Z,0.17,,15.44
M,H,2007-03-19T02:00:00Z,0.17,,18.02
M,H,2007-03-19T03:00:00Z,0.17,,18.02
M,H,2007-03-19T04:00:00Z,0.17,,15.44
M,H,2007-03-19T05:00:00Z,0.17,,15.44
M,H,2007-03-19T06:00:00Z,0.17,,11.84
M,H,2007-03-27T05:00:00Z,0.17,,13.38
M,H,2007-03-27T11:00:00Z,0.17,,10.81
M,H,2007-03-27T19:00:00Z,0.17,,10.81
M,H,2007-03-27T22:00:00Z,0.17,,11.32
M,H,2007-03-28T06:00:00Z,0.17,,11.84
M,H,2007-03-28T07:00:00Z,0.17,,14.41
M,H,2007-03-28T09:00:00Z,0.17,,15.96
M,H,2007-03-29T01:00:00Z,0.17,,10.3
M,H,2007-03-29T02:00:00Z,0.17,,10.3
M,H,2007-04-01T03:00:00Z,0.17,,12.87
M,H,2007-04-08T03:00:00Z,0.17,,12.35
M,H,2007-04-08T04:00:00Z,0.17,,13.9
M,H,2007-04-08T05:00:00Z,0.17,,13.9
M,H,2007-04-11T04:00:00Z,0.17,,14.41
M,H,2007-04-11T09:00:00Z,0.17,,11.84
M,H,2007-04-11T11:00:00Z,0.17,,14.41
M,H,2007-04-11T13:00:00Z,0.17,,13.9
M,H,2007-04-12T10:00:00Z,0.17,,14.93
M,H,2007-04-12T11:00:00Z,0.17,,15.96
M,H,2007-04-12T12:00:00Z,0.17,,14.93
M,H,2007-04-12T13:00:00Z,0.17,,15.96
M,H,2007-04-12T20:00:00Z,0.17,,18.02
M,H,2007-04-12T21:00:00Z,0.17,,15.44
M,H,2007-04-12T22:00:00Z,0.17,,15.96
M,H,2007-04-13T01:00:00Z,0.17,,14.93
M,H,2007-04-13T02:00:00Z,0.17,,17.5
M,H,2007-04-13T03:00:00Z,0.17,,15.96
M,H,2007-04-13T05:00:00Z,0.17,,14.93
M,H,2007-04-13T11:00:00Z,0.17,,15.96
M,H,2007-04-13T12:00:00Z,0.17,,14.41
M,H,2007-04-13T16:00:00Z,0.17,,13.38
M,H,2007-04-13T18:00:00Z,0.17,,15.44
M,H,2007-04-13T21:00:00Z,0.17,,15.96
M,H,2007-04-13T22:00:00Z,0.17,,14.93
M,H,2007-04-13T23:00:00Z,0.17,,16.47
M,H,2007-04-14T00:00:00Z,0.17,,16.99
M,H,2007-04-14T01:00:00Z,0.17,,14.41
M,H,2007-04-14T02:00:00Z,0.17,,15.44
M,H,2007-04-14T03:00:00Z,0.17,,15.96
M,H,2007-04-14T04:00:00Z,0.17,,16.47
M,H,2007-04-14T05:00:00Z,0.17,,13.38
M,H,2007-04-14T06:00:00Z,0.17,,18.02
M,H,2007-04-14T08:00:00Z,0.17,,16.47
M,H,2007-04-14T09:00:00Z,0.17,,15.44
M,H,2007-04-14T10:00:00Z,0.17,,18.53
M,H,2007-04-14T12:00:00Z,0.17,,16.47
M,H,2007-04-14T13:00:00Z,0.17,,16.47
M,H,2007-04-14T15:00:00Z,0.17,,17.5
M,H,2007-04-14T18:00:00Z,0.17,,14.41
M,H,2007-04-14T21:00:00Z,0.17,,14.93
M,H,2007-04-14T22:00:00Z,0.17,,13.9
M,H,2007-04-16T19:00:00Z,0.17,,13.9
M,H,2007-04-17T04:00:00Z,0.17,,15.44
M,H,2007-04-17T05:00:00Z,0.17,,17.5
M,H,2007-04-17T12:00:00Z,0.17,,13.38
M,H,2007-05-07T00:00:00Z,0.17,,10.81
M,H,2007-05-07T03:00:00Z,0.17,,13.9
M,H,2007-05-08T09:00:00Z,0.17,,10.3
M,H,2007-05-09T12:00:00Z,0.17,,11.32
M,H,2007-05-10T22:00:00Z,0.17,,14.93
M,H,2007-05-11T03:00:00Z,0.17,,13.9
M,H,2007-05-11T04:00:00Z,0.17,,15.44
M,H,2007-05-11T05:00:00Z,0.17,,12.87
M,H,2007-05-11T12:00:00Z,0.17,,13.38
M,H,2007-05-12T08:00:00Z,0.17,,9.78
M,H,2007-05-12T12:00:00Z,0.17,,14.93
M,H,2007-05-13T03:00:00Z,0.17,,14.41
M,H,2007-05-14T03:00:00Z,0.17,,13.38
M,H,2007-05-14T09:00:00Z,0.17,,16.47
M,H,2007-05-15T16:00:00Z,0.17,,11.84
M,H,2007-05-15T19:00:00Z,0.17,,12.87
M,H,2007-05-15T20:00:00Z,0.17,,13.9
M,H,2007-05-16T01:00:00Z,0.17,,13.38
M,H,2007-05-16T05:00:00Z,0.17,,13.9
M,H,2007-05-16T07:00:00Z,0.17,,15.96
M,H,2007-05-16T09:00:00Z,0.17,,16.47
M,H,2007-05-17T01:00:00Z,0.17,,16.99
M,H,2007-05-17T02:00:00Z,0.17,,20.59
M,H,2007-05-17T03:00:00Z,0.17,,16.99
M,H,2007-05-17T07:00:00Z,0.17,,13.9
M,H,2007-05-18T00:00:00Z,0.17,,13.38
M,H,2007-05-20T15:00:00Z,0.17,,12.35
M,H,2007-05-20T16:00:00Z,0.17,,11.84
M,H,2007-05-20T17:00:00Z,0.17,,11.32
M,H,2007-05-20T18:00:00Z,0.17,,13.38
M,H,2007-05-21T01:00:00Z,0.17,,15.96
M,H,2007-05-21T02:00:00Z,0.17,,10.81
M,H,2007-05-22T13:00:00Z,0.17,,12.87
M,H,2007-05-26T17:00:00Z,0.17,,15.44
M,H,2007-05-26T18:00:00Z,0.17,,16.47
M,H,2007-05-26T19:00:00Z,0.17,,20.08
M,H,2007-05-26T20:00:00Z,0.17,,27.28
M,H,2007-05-26T21:00:00Z,0.17,,25.22
M,H,2007-05-26T22:00:00Z,0.17,,23.68
M,H,2007-05-26T23:00:00Z,0.17,,19.56
M,H,2007-05-27T00:00:00Z,0.17,,21.11
M,H,2007-05-27T01:00:00Z,0.17,,22.14
M,H,2007-05-27T02:00:00Z,0.17,,16.47
M,H,2007-05-27T03:00:00Z,0.17,,16.47
M,H,2007-05-27T04:00:00Z,0.17,,16.47
M,H,2007-05-27T05:00:00Z,0.17,,14.93
M,H,2007-05-27T08:00:00Z,0.17,,15.44
M,H,2007-06-05T06:00:00Z,0.17,,11.84
M,H,2007-06-05T07:00:00Z,0.17,,13.38
M,H,2007-06-05T10:00:00Z,0.17,,15.96
M,H,2007-06-05T11:00:00Z,0.17,,18.02
M,H,2007-06-06T05:00:00Z,0.17,,12.87
M,H,2007-06-06T06:00:00Z,0.17,,12.87
M,H,2007-06-06T10:00:00Z,0.17,,15.44
M,H,2007-06-06T16:00:00Z,0.17,,16.47
M,H,2007-06-06T17:00:00Z,0.17,,15.44
M,H,2007-06-06T18:00:00Z,0.17,,20.08
M,H,2007-06-06T19:00:00Z,0.17,,14.41
M,H,2007-06-06T22:00:00Z,0.17,,14.41
M,H,2007-06-06T23:00:00Z,0.17,,17.5
M,H,2007-06-07T00:00:00Z,0.17,,18.02
M,H,2007-06-07T02:00:00Z,0.17,,16.99
M,H,2007-06-07T08:00:00Z,0.17,,8.75
M,H,2007-06-08T00:00:00Z,0.17,,14.41
M,H,2007-06-08T01:00:00Z,0.17,,19.05
M,H,2007-06-08T02:00:00Z,0.17,,20.08
M,H,2007-06-08T06:00:00Z,0.17,,13.9
M,H,2007-06-08T07:00:00Z,0.17,,13.38
M,H,2007-06-08T08:00:00Z,0.17,,13.9
M,H,2007-06-08T12:00:00Z,0.17,,12.35
M,H,2007-06-08T18:00:00Z,0.17,,11.84
M,H,2007-06-09T06:00:00Z,0.17,,15.44
M,H,2007-06-09T09:00:00Z,0.17,,12.87
M,H,2007-06-20T09:00:00Z,0.17,,11.32
M,H,2007-06-22T01:00:00Z,0.17,,12.35
M,H,2007-06-22T03:00:00Z,0.17,,15.96
M,H,2007-06-22T06:00:00Z,0.17,,12.35
M,H,2007-06-22T07:00:00Z,0.17,,12.35
M,H,2007-06-22T08:00:00Z,0.17,,13.9
M,H,2007-06-22T13:00:00Z,0.17,,16.99
M,H,2007-06-22T16:00:00Z,0.17,,18.02
M,H,2007-06-22T17:00:00Z,0.17,,13.9
M,H,2007-06-22T18:00:00Z,0.17,,16.99
M,H,2007-06-22T19:00:00Z,0.17,,15.44
M,H,2007-06-22T20:00:00Z,0.17,,16.47
M,H,2007-06-22T21:00:00Z,0.17,,15.96
M,H,2007-06-22T23:00:00Z,0.17,,16.99
M,H,2007-06-23T00:00:00Z,0.17,,18.53
M,H,2007-06-23T02:00:00Z,0.17,,15.44
M,H,2007-06-23T05:00:00Z,0.17,,16.47
M,H,2007-06-23T06:00:00Z,0.17,,15.44
M,H,2007-06-23T08:00:00Z,0.17,,14.41
M,H,2007-06-23T10:00:00Z,0.17,,17.5
M,H,2007-06-23T11:00:00Z,0.17,,16.47
M,H,2007-06-23T12:00:00Z,0.17,,15.44
M,H,2007-06-23T15:00:00Z,0.17,,20.08
M,H,2007-06-23T16:00:00Z,0.17,,17.5
M,H,2007-06-23T17:00:00Z,0.17,,16.47
M,H,2007-06-23T18:00:00Z,0.17,,20.59
M,H,2007-06-23T19:00:00Z,0.17,,21.62
M,H,2007-06-23T20:00:00Z,0.17,,19.56
M,H,2007-06-23T21:00:00Z,0.17,,18.53
M,H,2007-06-23T22:00:00Z,0.17,,20.59
M,H,2007-06-23T23:00:00Z,0.17,,19.05
M,H,2007-06-24T00:00:00Z,0.17,,16.99
M,H,2007-06-24T01:00:00Z,0.17,,18.53
M,H,2007-06-24T02:00:00Z,0.17,,19.56
M,H,2007-06-24T03:00:00Z,0.17,,20.08
M,H,2007-06-24T04:00:00Z,0.17,,16.99
M,H,2007-06-24T05:00:00Z,0.17,,16.47
M,H,2007-06-24T06:00:00Z,0.17,,15.44
M,H,2007-06-24T07:00:00Z,0.17,,16.47
M,H,2007-06-24T09:00:00Z,0.17,,13.9
M,H,2007-06-24T10:00:00Z,0.17,,13.38
M,H,2007-06-24T11:00:00Z,0.17,,13.38
M,H,2007-06-24T14:00:00Z,0.17,,15.96
M,H,2007-06-24T16:00:00Z,0.17,,19.05
M,H,2007-06-24T17:00:00Z,0.17,,16.47
M,H,2007-06-24T18:00:00Z,0.17,,14.93
M,H,2007-06-24T20:00:00Z,0.17,,13.9
M,H,2007-06-25T00:00:00Z,0.17,,16.47
M,H,2007-06-25T02:00:00Z,0.17,,15.96
M,H,2007-06-25T03:00:00Z,0.17,,15.96
M,H,2007-06-25T05:00:00Z,0.17,,13.9
M,H,2007-06-26T03:00:00Z,0.17,,13.38
M,H,2007-06-29T05:00:00Z,0.17,,13.9
M,H,2007-06-29T07:00:00Z,0.17,,13.9
M,H,2007-06-29T09:00:00Z,0.17,,14.93
M,H,2007-06-29T15:00:00Z,0.17,,16.47
M,H,2007-06-29T17:00:00Z,0.17,,15.44
M,H,2007-06-29T18:00:00Z,0.17,,13.9
M,H,2007-06-29T19:00:00Z,0.17,,12.87
M,H,2007-07-18T05:00:00Z,0.17,,11.84
M,H,2007-07-19T01:00:00Z,0.17,,12.35
M,H,2007-07-22T00:00:00Z,0.17,,15.44
M,H,2007-07-22T01:00:00Z,0.17,,13.38
M,H,2007-07-22T05:00:00Z,0.17,,13.38
M,H,2007-07-23T03:00:00Z,0.17,,12.87
M,H,2007-07-23T04:00:00Z,0.17,,12.35
M,H,2007-07-23T10:00:00Z,0.17,,14.41
M,H,2007-07-24T19:00:00Z,0.17,,10.81
M,H,2007-07-24T20:00:00Z,0.17,,13.38
M,H,2007-07-24T21:00:00Z,0.17,,12.87
M,H,2007-07-25T01:00:00Z,0.17,,11.84
M,H,2007-07-25T04:00:00Z,0.17,,13.9
M,H,2007-07-25T06:00:00Z,0.17,,13.38
M,H,2007-07-25T10:00:00Z,0.17,,12.87
M,H,2007-07-29T18:00:00Z,0.17,,17.5
M,H,2007-07-29T23:00:00Z,0.17,,17.5
M,H,2007-07-30T02:00:00Z,0.17,,14.93
M,H,2007-07-30T04:00:00Z,0.17,,16.99
M,H,2007-07-30T05:00:00Z,0.17,,16.99
M,H,2007-07-30T06:00:00Z,0.17,,15.96
M,H,2007-07-30T07:00:00Z,0.17,,16.99
M,H,2007-08-03T21:00:00Z,0.17,,12.35
M,H,2007-08-10T02:00:00Z,0.17,,11.84
M,H,2007-08-10T03:00:00Z,0.17,,13.9
M,H,2007-08-10T04:00:00Z,0.17,,15.96
M,H,2007-08-10T05:00:00Z,0.17,,19.05
M,H,2007-08-10T08:00:00Z,0.17,,10.81
M,H,2007-08-10T10:00:00Z,0.17,,14.41
M,H,2007-08-10T12:00:00Z,0.17,,16.47
M,H,2007-08-10T14:00:00Z,0.17,,12.87
M,H,2007-08-10T15:00:00Z,0.17,,15.44
M,H,2007-08-10T16:00:00Z,0.17,,12.35
M,H,2007-08-11T00:00:00Z,0.17,,13.38
M,H,2007-08-11T01:00:00Z,0.17,,14.41
M,H,2007-08-11T02:00:00Z,0.17,,16.47
M,H,2007-08-11T03:00:00Z,0.17,,11.84
M,H,2007-08-11T04:00:00Z,0.17,,13.38
M,H,2007-08-12T03:00:00Z,0.17,,13.9
M,H,2007-08-15T11:00:00Z,0.17,,14.41
M,H,2007-08-15T12:00:00Z,0.17,,12.87
M,H,2007-08-15T16:00:00Z,0.17,,11.84
M,H,2007-08-15T20:00:00Z,0.17,,15.96
M,H,2007-08-21T02:00:00Z,0.17,,13.38
M,H,2007-08-21T10:00:00Z,0.17,,18.53
M,H,2007-08-21T11:00:00Z,0.17,,15.96
M,H,2007-08-21T13:00:00Z,0.17,,14.41
M,H,2007-08-21T22:00:00Z,0.17,,15.44
M,H,2007-08-22T00:00:00Z,0.17,,18.02
M,H,2007-08-22T02:00:00Z,0.17,,14.93
M,H,2007-08-22T03:00:00Z,0.17,,13.9
M,H,2007-08-22T05:00:00Z,0.17,,15.44
M,H,2007-08-22T07:00:00Z,0.17,,15.44
M,H,2007-08-22T09:00:00Z,0.17,,19.05
M,H,2007-08-22T10:00:00Z,0.17,,18.02
M,H,2007-08-22T15:00:00Z,0.17,,14.41
M,H,2007-08-22T16:00:00Z,0.17,,13.9
M,H,2007-08-22T17:00:00Z,0.17,,15.96
M,H,2007-08-22T19:00:00Z,0.17,,12.35
M,H,2007-08-22T21:00:00Z,0.17,,13.38
M,H,2007-08-22T23:00:00Z,0.17,,16.47
M,H,2007-08-23T00:00:00Z,0.17,,14.93
M,H,2007-08-23T01:00:00Z,0.17,,14.41
M,H,2007-08-23T02:00:00Z,0.17,,12.35
M,H,2007-08-23T05:00:00Z,0.17,,13.38
M,H,2007-08-28T05:00:00Z,0.17,,12.87
M,H,2007-08-28T06:00:00Z,0.17,,13.38
M,H,2007-08-29T16:00:00Z,0.17,,13.38
M,H,2007-08-29T22:00:00Z,0.17,,14.41
M,H,2007-08-29T23:00:00Z,0.17,,15.96
M,H,2007-08-30T01:00:00Z,0.17,,15.44
M,H,2007-08-30T02:00:00Z,0.17,,14.93
M,H,2007-08-30T03:00:00Z,0.17,,11.84
M,H,2007-08-30T06:00:00Z,0.17,,13.9
M,H,2007-08-30T08:00:00Z,0.17,,14.41
M,H,2007-08-30T23:00:00Z,0.17,,13.9
M,H,2007-08-31T22:00:00Z,0.17,,10.3
M,H,2007-09-01T00:00:00Z,0.17,,8.24
M,H,2007-09-01T15:00:00Z,0.17,,19.05
M,H,2007-09-01T16:00:00Z,0.17,,15.44
M,H,2007-09-01T18:00:00Z,0.17,,14.41
M,H,2007-09-01T22:00:00Z,0.17,,12.87
M,H,2007-09-03T00:00:00Z,0.17,,12.87
M,H,2007-09-03T04:00:00Z,0.17,,15.44
M,H,2007-09-03T06:00:00Z,0.17,,14.41
M,H,2007-09-04T02:00:00Z,0.17,,15.44
M,H,2007-09-04T05:00:00Z,0.17,,12.87
M,H,2007-09-25T02:00:00Z,0.17,,11.84
M,H,2007-09-25T03:00:00Z,0.17,,10.3
M,H,2007-09-25T05:00:00Z,0.17,,11.84
M,H,2007-09-26T05:00:00Z,0.17,,10.81
M,H,2007-10-02T11:00:00Z,0.17,,20.08
M,H,2007-10-02T13:00:00Z,0.17,,17.5
M,H,2007-10-02T14:00:00Z,0.17,,16.47
M,H,2007-10-02T15:00:00Z,0.17,,17.5
M,H,2007-10-02T16:00:00Z,0.17,,18.53
M,H,2007-10-02T21:00:00Z,0.17,,11.32
M,H,2007-10-04T02:00:00Z,0.17,,11.84
M,H,2007-10-04T03:00:00Z,0.17,,19.05
M,H,2007-10-04T04:00:00Z,0.17,,10.81
M,H,2007-10-05T00:00:00Z,0.17,,10.81
M,H,2007-10-05T01:00:00Z,0.17,,16.99
M,H,2007-10-05T02:00:00Z,0.17,,18.02
M,H,2007-10-06T00:00:00Z,0.17,,13.38
M,H,2007-10-06T01:00:00Z,0.17,,12.35
M,H,2007-10-06T07:00:00Z,0.17,,9.27
M,H,2007-10-07T01:00:00Z,0.17,,12.35
M,H,2007-10-13T21:00:00Z,0.17,,18.02
M,H,2007-10-13T22:00:00Z,0.17,,20.59
M,H,2007-10-13T23:00:00Z,0.17,,21.11
M,H,2007-10-14T00:00:00Z,0.17,,12.87
M,H,2007-10-14T01:00:00Z,0.17,,15.96
M,H,2007-10-14T02:00:00Z,0.17,,17.5
M,H,2007-10-14T03:00:00Z,0.17,,18.53
M,H,2007-10-14T04:00:00Z,0.17,,16.99
M,H,2007-10-14T05:00:00Z,0.17,,14.41
M,H,2007-10-16T20:00:00Z,0.17,,12.87
M,H,2007-10-16T21:00:00Z,0.17,,19.05
M,H,2007-10-17T01:00:00Z,0.17,,13.9
M,H,2007-10-17T02:00:00Z,0.17,,12.35
M,H,2007-10-17T03:00:00Z,0.17,,15.44
M,H,2007-10-19T20:00:00Z,0.17,,18.02
M,H,2007-10-19T21:00:00Z,0.17,,12.35
M,H,2007-10-20T00:00:00Z,0.17,,14.93
M,H,2007-10-20T03:00:00Z,0.17,,13.9
M,H,2007-10-20T08:00:00Z,0.17,,9.78
M,H,2007-10-20T10:00:00Z,0.17,,14.93
M,H,2007-10-20T12:00:00Z,0.17,,17.5
M,H,2007-10-20T13:00:00Z,0.17,,14.93
M,H,2007-10-20T20:00:00Z,0.17,,19.56
M,H,2007-10-20T21:00:00Z,0.17,,18.53
M,H,2007-10-20T22:00:00Z,0.17,,16.47
M,H,2007-10-20T23:00:00Z,0.17,,16.99
M,H,2007-10-21T00:00:00Z,0.17,,15.44
M,H,2007-10-21T01:00:00Z,0.17,,13.38
M,H,2007-10-21T02:00:00Z,0.17,,14.93
M,H,2007-10-21T04:00:00Z,0.17,,16.47
M,H,2007-10-21T06:00:00Z,0.17,,10.3
M,H,2007-10-21T11:00:00Z,0.17,,13.9
M,H,2007-10-21T12:00:00Z,0.17,,18.02
M,H,2007-10-21T13:00:00Z,0.17,,12.87
M,H,2007-10-21T16:00:00Z,0.17,,19.05
M,H,2007-10-21T17:00:00Z,0.17,,13.9
M,H,2007-10-21T18:00:00Z,0.17,,15.96
M,H,2007-10-21T19:00:00Z,0.17,,16.99
M,H,2007-10-21T20:00:00Z,0.17,,16.99
M,H,2007-10-21T21:00:00Z,0.17,,21.11
M,H,2007-10-21T22:00:00Z,0.17,,18.02
M,H,2007-10-21T23:00:00Z,0.17,,18.53
M,H,2007-10-22T00:00:00Z,0.17,,19.05
M,H,2007-10-22T01:00:00Z,0.17,,15.96
M,H,2007-10-22T03:00:00Z,0.17,,11.84
M,H,2007-10-22T20:00:00Z,0.17,,16.99
M,H,2007-10-22T21:00:00Z,0.17,,28.31
M,H,2007-10-22T22:00:00Z,0.17,,25.74
M,H,2007-10-22T23:00:00Z,0.17,,22.14
M,H,2007-10-23T00:00:00Z,0.17,,20.59
M,H,2007-10-23T01:00:00Z,0.17,,17.5
M,H,2007-10-23T02:00:00Z,0.17,,16.99
M,H,2007-10-23T03:00:00Z,0.17,,14.41
M,H,2007-10-23T04:00:00Z,0.17,,15.44
M,H,2007-10-24T03:00:00Z,0.17,,18.53
M,H,2007-10-24T04:00:00Z,0.17,,17.5
M,H,2007-10-24T05:00:00Z,0.17,,18.02
M,H,2007-10-24T06:00:00Z,0.17,,16.47
M,H,2007-10-24T07:00:00Z,0.17,,13.9
M,H,2007-10-24T08:00:00Z,0.17,,13.9
M,H,2007-10-24T10:00:00Z,0.17,,18.02
M,H,2007-10-24T11:00:00Z,0.17,,14.93
M,H,2007-10-24T12:00:00Z,0.17,,13.9
M,H,2007-10-25T00:00:00Z,0.17,,13.38
M,H,2007-10-25T01:00:00Z,0.17,,15.96
M,H,2007-10-25T02:00:00Z,0.17,,13.9
M,H,2007-10-25T03:00:00Z,0.17,,13.9
M,H,2007-10-25T04:00:00Z,0.17,,17.5
M,H,2007-10-25T05:00:00Z,0.17,,15.44
M,H,2007-10-25T06:00:00Z,0.17,,15.44
M,H,2007-10-25T23:00:00Z,0.17,,15.96
M,H,2007-10-26T02:00:00Z,0.17,,15.96
M,H,2007-10-26T03:00:00Z,0.17,,16.99
M,H,2007-10-26T04:00:00Z,0.17,,15.44
M,H,2007-10-26T05:00:00Z,0.17,,11.84
M,H,2007-10-26T07:00:00Z,0.17,,13.9
M,H,2007-10-26T10:00:00Z,0.17,,15.44
M,H,2007-10-30T03:00:00Z,0.17,,9.27
M,H,2007-11-04T20:00:00Z,0.17,,13.9
M,H,2007-11-04T23:00:00Z,0.17,,16.47
M,H,2007-11-05T00:00:00Z,0.17,,18.53
M,H,2007-11-05T01:00:00Z,0.17,,14.93
M,H,2007-11-05T03:00:00Z,0.17,,14.93
M,H,2007-11-05T04:00:00Z,0.17,,13.38
M,H,2007-11-05T13:00:00Z,0.17,,13.38
M,H,2007-11-05T22:00:00Z,0.17,,12.35
M,H,2007-11-05T23:00:00Z,0.17,,11.84
M,H,2007-11-06T23:00:00Z,0.17,,13.9
M,H,2007-11-07T01:00:00Z,0.17,,16.47
M,H,2007-11-07T02:00:00Z,0.17,,16.99
M,H,2007-11-07T03:00:00Z,0.17,,15.96
M,H,2007-11-07T19:00:00Z,0.17,,11.84
M,H,2007-11-07T20:00:00Z,0.17,,14.93
M,H,2007-11-07T21:00:00Z,0.17,,14.93
M,H,2007-11-07T23:00:00Z,0.17,,14.93
M,H,2007-11-08T00:00:00Z,0.17,,15.96
M,H,2007-11-08T01:00:00Z,0.17,,17.5
M,H,2007-11-08T02:00:00Z,0.17,,16.47
M,H,2007-11-08T03:00:00Z,0.17,,18.02
M,H,2007-11-08T05:00:00Z,0.17,,15.96
M,H,2007-11-08T06:00:00Z,0.17,,14.93
M,H,2007-11-08T11:00:00Z,0.17,,15.44
M,H,2007-11-08T12:00:00Z,0.17,,16.99
M,H,2007-11-08T13:00:00Z,0.17,,16.47
M,H,2007-11-08T16:00:00Z,0.17,,14.93
M,H,2007-11-08T17:00:00Z,0.17,,16.47
M,H,2007-11-08T20:00:00Z,0.17,,14.93
M,H,2007-11-08T21:00:00Z,0.17,,18.02
M,H,2007-11-08T23:00:00Z,0.17,,13.9
M,H,2007-11-09T00:00:00Z,0.17,,13.38
M,H,2007-11-09T01:00:00Z,0.17,,15.44
M,H,2007-11-12T01:00:00Z,0.17,,10.81
M,H,2007-11-13T00:00:00Z,0.17,,14.93
M,H,2007-11-14T03:00:00Z,0.17,,13.38
M,H,2007-11-14T05:00:00Z,0.17,,10.81
M,H,2007-11-24T23:00:00Z,0.17,,14.41
M,H,2007-11-25T00:00:00Z,0.17,,18.53
M,H,2007-11-25T02:00:00Z,0.17,,15.96
M,H,2007-11-25T04:00:00Z,0.17,,12.35
M,H,2007-11-28T20:00:00Z,0.17,,7.72
M,H,2007-11-29T04:00:00Z,0.17,,11.32
M,H,2007-12-05T10:00:00Z,0.17,,13.38
M,H,2007-12-07T11:00:00Z,0.17,,13.38
M,H,2007-12-07T12:00:00Z,0.17,,11.84
