Data Source,Frequency [D/H],Observation time UTC,PERIOD [hrs],Direction [deg T],Speed [m/s]
M,H,2003-09-19T03:00:00Z,0.17,,14.93
M,H,2003-09-20T04:00:00Z,0.17,,9.78
M,H,2003-09-20T06:00:00Z,0.17,,12.35
M,H,2003-09-21T00:00:00Z,0.17,,12.87
M,H,2003-09-21T01:00:00Z,0.17,,13.38
M,H,2003-09-22T21:00:00Z,0.17,,15.96
M,H,2003-09-22T22:00:00Z,0.17,,15.96
M,H,2003-09-22T23:00:00Z,0.17,,14.41
M,H,2003-09-23T23:00:00Z,0.17,,14.41
M,H,2003-09-24T08:00:00Z,0.17,,11.32
M,H,2003-09-24T14:00:00Z,0.17,,13.38
M,H,2003-09-25T07:00:00Z,0.17,,13.38
M,H,2003-09-25T08:00:00Z,0.17,,15.96
M,H,2003-09-25T09:00:00Z,0.17,,15.96
M,H,2003-09-25T21:00:00Z,0.17,,11.32
M,H,2003-09-26T22:00:00Z,0.17,,16.47
M,H,2003-09-27T02:00:00Z,0.17,,15.44
M,H,2003-09-27T04:00:00Z,0.17,,12.87
M,H,2003-10-02T03:00:00Z,0.17,,10.3
M,H,2003-10-02T17:00:00Z,0.17,,12.87
M,H,2003-10-03T13:00:00Z,0.17,,15.44
M,H,2003-10-03T23:00:00Z,0.17,,15.96
M,H,2003-10-04T01:00:00Z,0.17,,11.84
M,H,2003-10-04T03:00:00Z,0.17,,9.27
M,H,2003-10-04T06:00:00Z,0.17,,14.93
M,H,2003-10-04T10:00:00Z,0.17,,11.32
M,H,2003-10-04T11:00:00Z,0.17,,13.9
M,H,2003-10-04T19:00:00Z,0.17,,13.9
M,H,2003-10-04T21:00:00Z,0.17,,14.41
M,H,2003-10-05T02:00:00Z,0.17,,14.93
M,H,2003-10-05T03:00:00Z,0.17,,17.5
M,H,2003-10-05T05:00:00Z,0.17,,13.38
M,H,2003-10-08T22:00:00Z,0.17,,12.87
M,H,2003-10-13T06:00:00Z,0.17,,10.81
M,H,2003-10-27T01:00:00Z,0.17,,13.9
M,H,2003-10-27T05:00:00Z,0.17,,12.87
M,H,2003-10-27T06:00:00Z,0.17,,16.99
M,H,2003-10-27T07:00:00Z,0.17,,13.38
M,H,2003-10-27T08:00:00Z,0.17,,14.41
M,H,2003-10-27T10:00:00Z,0.17,,12.87
M,H,2003-10-27T11:00:00Z,0.17,,14.93
M,H,2003-10-27T15:00:00Z,0.17,,15.44
M,H,2003-10-27T17:00:00Z,0.17,,14.93
M,H,2003-10-27T19:00:00Z,0.17,,13.9
M,H,2003-10-27T20:00:00Z,0.17,,14.93
M,H,2003-10-27T21:00:00Z,0.17,,13.9
M,H,2003-10-27T23:00:00Z,0.17,,15.96
M,H,2003-10-28T00:00:00Z,0.17,,13.9
M,H,2003-10-30T03:00:00Z,0.17,,15.44
M,H,2003-11-02T06:00:00Z,0.17,,13.38
M,H,2003-11-02T07:00:00Z,0.17,,21.11
M,H,2003-11-02T08:00:00Z,0.17,,24.19
M,H,2003-11-02T09:00:00Z,0.17,,18.02
M,H,2003-11-02T10:00:00Z,0.17,,18.02
